model_name,Class,True_Positives,False_Positives,False_Negatives,True_Negatives,Precision,Recall,F1_Score
inceptionv3,Grape___Esca_(Black_Measles),308,1,0,10552,0.9967637540453076,1.0,0.9983792544570502
inceptionv3,Grape___Leaf_blight_(Isariopsis_Leaf_Spot),231,1,0,10629,0.9956896551724138,1.0,0.9978401727861772
inceptionv3,Grape___healthy,83,1,0,10777,0.988095238095238,1.0,0.9940119760479044
inceptionv3,Orange___Haunglongbing_(Citrus_greening),1058,0,0,9803,1.0,1.0,1.0
inceptionv3,Peach___Bacterial_spot,422,0,1,10438,1.0,0.9976359338061466,0.9988165680473372
inceptionv3,Peach___healthy,72,1,0,10788,0.9863013698630136,1.0,0.993103448275862
inceptionv3,"Pepper,_bell___Bacterial_spot",176,1,0,10684,0.9943502824858758,1.0,0.9971671388101984
inceptionv3,"Pepper,_bell___healthy",291,1,1,10568,0.9965753424657534,0.9965753424657534,0.9965753424657534
inceptionv3,Potato___Early_blight,216,0,0,10645,1.0,1.0,1.0
inceptionv3,Potato___Late_blight,212,0,1,10648,1.0,0.9953051643192488,0.9976470588235292
inceptionv3,Potato___healthy,31,0,0,10830,1.0,1.0,1.0
inceptionv3,Raspberry___healthy,72,0,0,10789,1.0,1.0,1.0
inceptionv3,Soybean___healthy,1035,0,2,9824,1.0,0.9980713596914176,0.9990347490347492
inceptionv3,Squash___Powdery_mildew,380,1,0,10480,0.9973753280839897,1.0,0.9986859395532194
inceptionv3,Strawberry___Leaf_scorch,209,0,1,10651,1.0,0.9952380952380953,0.9976133651551312
inceptionv3,Strawberry___healthy,99,0,0,10762,1.0,1.0,1.0
inceptionv3,Tomato___Bacterial_spot,426,2,2,10431,0.9953271028037384,0.9953271028037384,0.9953271028037384
inceptionv3,Tomato___Early_blight,178,1,3,10679,0.994413407821229,0.9834254143646408,0.9888888888888888
inceptionv3,Tomato___Late_blight,403,5,2,10451,0.9877450980392156,0.9950617283950616,0.9913899138991388
inceptionv3,Tomato___Leaf_Mold,180,0,0,10681,1.0,1.0,1.0
inceptionv3,Tomato___Septoria_leaf_spot,364,1,1,10495,0.9972602739726028,0.9972602739726028,0.9972602739726028
inceptionv3,Tomato___Spider_mites Two-spotted_spider_mite,335,0,0,10526,1.0,1.0,1.0
inceptionv3,Tomato___Target_Spot,284,2,0,10575,0.993006993006993,1.0,0.9964912280701756
inceptionv3,Tomato___Tomato_Yellow_Leaf_Curl_Virus,1060,1,1,9799,0.9990574929311968,0.9990574929311968,0.9990574929311968
inceptionv3,Tomato___Tomato_mosaic_virus,70,0,0,10791,1.0,1.0,1.0
inceptionv3,Tomato___healthy,315,1,1,10544,0.9968354430379748,0.9968354430379748,0.9968354430379748
lenet,Apple___Apple_scab,114,11,18,10718,0.912,0.8636363636363636,0.88715953307393
lenet,Apple___Black_rot,125,9,2,10725,0.9328358208955224,0.984251968503937,0.9578544061302682
lenet,Apple___Cedar_apple_rust,43,0,4,10814,1.0,0.9148936170212766,0.9555555555555556
lenet,Apple___healthy,315,13,19,10514,0.9603658536585366,0.94311377245509,0.9516616314199396
lenet,Blueberry___healthy,301,7,7,10546,0.9772727272727272,0.9772727272727272,0.9772727272727272
